,importance
ULTOSC,0.06409162
AROON_down,0.04400044
AROON_up,0.039061382
WILLR,0.0280322
STOCHF_fastk,0.02697982
TRANGE,0.02238599
LINEARREG,0.019643266
TSF,0.019130316
MINUS_DI,0.019072758
MAVP,0.018899143
CCI,0.017660653
RSI,0.017105961
CMO,0.016942283
PLUS_DI,0.014481786
MINUS_DM,0.014370446
AVGPRICE,0.0136348205
FAMA,0.013497958
MIDPRICE,0.013080246
ATR,0.012330454
ROCR100,0.012227816
DEMA,0.012141445
STOCHRSI_fastk,0.012133794
SAREXT,0.011843214
BB_LOWER,0.011600597
STOCH_slowk,0.011538255
TEMA,0.011435869
NATR,0.0113872625
STOCHF_fastd,0.0113774305
DX,0.010969335
MACDFIX,0.010838482
HT_TRENDLINE,0.010674492
MAMA,0.010476649
MIDPOINT,0.010125969
PLUS_DM,0.010116976
HT_PHASOR_inphase,0.009988563
SAR,0.009754814
TYPPRICE,0.0097329235
Close,0.009238015
VAR,0.009130001
LINEARREG_INTERCEPT,0.009014353
BB_MIDDLE,0.008900327
KAMA,0.008775896
MOM,0.008639029
PPO,0.008533483
LINEARREG_SLOPE,0.008529778
CORREL,0.008392185
ROC,0.008359214
ROCP,0.008331423
MACD,0.008287074
ROCR,0.008206115
T3,0.0081833005
MACDEXT_hist,0.007989436
HT_SINE_leadsine,0.007975941
WMA,0.00794618
ADX,0.007820677
AROONOSC,0.0077916384
MACDFIX_hist,0.007783779
TRIX,0.0077800527
ADXR,0.0076986616
MA,0.0076905773
HT_DCPHASE,0.0076299044
BOP,0.00754976
MACDFIX_signal,0.0074957577
BETA,0.007491824
PATTERN_SUM,0.0073708147
HT_DCPERIOD,0.007363538
STOCH_slowd,0.0073133307
MACDEXT_signal,0.0072781253
EMA,0.007139275
BB_UPPER,0.0070768595
LINEARREG_ANGLE,0.0070433216
MACD_signal,0.006973853
STOCHRSI_fastd,0.006923653
HT_SINE_sine,0.0069178217
Low,0.006839343
APO,0.0068163257
TRIMA,0.006789298
MACDEXT,0.0067553734
STDDEV,0.0065090917
HT_PHASOR_quadrature,0.0064697014
Open,0.0064088567
MACD_hist,0.006236913
SMA,0.005898484
WCLPRICE,0.005654447
High,0.005527985
MEDPRICE,0.0047637066
HT_TRENDMODE,0.0
