,importance
ROCR,0.051559296
ROCP,0.0444173
MACDEXT_hist,0.038153145
ROC,0.037354782
KAMA,0.03730738
MACD_hist,0.035951655
Open,0.029252
Low,0.028130602
MACDFIX_hist,0.026090166
BOP,0.024037654
PPO,0.02320508
STOCHRSI_fastd,0.022467937
High,0.02032121
BB_UPPER,0.01871252
PLUS_DI,0.01784726
BB_MIDDLE,0.017232837
NATR,0.016792241
Close,0.01584833
TRANGE,0.015522451
BB_LOWER,0.015304023
ATR,0.015051063
WILLR,0.014014449
STOCHRSI_fastk,0.013564005
RSI,0.013221807
LINEARREG_ANGLE,0.013043516
STOCHF_fastk,0.012715594
MIDPOINT,0.012562546
MAMA,0.011433729
MAVP,0.010753087
APO,0.009695299
ADX,0.009680955
BETA,0.009388757
MINUS_DM,0.009351207
MOM,0.00907029
PATTERN_SUM,0.009035058
ULTOSC,0.008982695
MIDPRICE,0.008506117
PLUS_DM,0.00833636
MACDEXT,0.008304873
STDDEV,0.008293567
WMA,0.008249114
CMO,0.008227629
ADXR,0.0082266815
TRIX,0.007977035
CCI,0.007948311
DX,0.0077807545
TRIMA,0.007730988
DEMA,0.0076863524
HT_DCPHASE,0.007685858
MACD_signal,0.007609961
SAREXT,0.0073192683
VAR,0.00720092
TEMA,0.00719103
MACDFIX,0.006921787
MINUS_DI,0.006805957
HT_TRENDLINE,0.006787625
TSF,0.006562421
STOCH_slowk,0.006504317
AVGPRICE,0.0063686944
LINEARREG_SLOPE,0.0061450433
HT_SINE_sine,0.0060763624
LINEARREG_INTERCEPT,0.005928842
AROON_up,0.005860687
HT_PHASOR_quadrature,0.0057004592
STOCH_slowd,0.0055883136
ROCR100,0.005510298
LINEARREG,0.0054799807
STOCHF_fastd,0.0054284525
MACDFIX_signal,0.005376274
CORREL,0.005320899
MACDEXT_signal,0.005164098
AROON_down,0.0049428823
AROONOSC,0.0049018767
MACD,0.004878607
HT_PHASOR_inphase,0.0047196993
HT_DCPERIOD,0.0046872864
EMA,0.0044518006
T3,0.004412465
FAMA,0.004149944
MEDPRICE,0.003978232
HT_TRENDMODE,0.0
WCLPRICE,0.0
MA,0.0
HT_SINE_leadsine,0.0
TYPPRICE,0.0
SMA,0.0
SAR,0.0
