,importance
ULTOSC,0.05004259
AROON_up,0.037397113
AROON_down,0.03586277
WILLR,0.0260015
STOCHF_fastk,0.023288617
TRANGE,0.020493485
SAREXT,0.016147593
PLUS_DI,0.01589161
MINUS_DI,0.013857961
TEMA,0.013757172
TSF,0.013725565
PLUS_DM,0.01324632
TRIMA,0.013243771
MAVP,0.013185311
LINEARREG,0.012749613
MINUS_DM,0.0126640545
CMO,0.012019579
NATR,0.011771038
MAMA,0.011706455
T3,0.011488842
FAMA,0.0113371415
ROCP,0.01131968
STOCHF_fastd,0.011291096
LINEARREG_ANGLE,0.011287239
Close,0.011260698
SMA,0.011235569
ATR,0.011214996
MACDFIX_signal,0.01104506
CCI,0.010912352
ROC,0.010768153
MACDFIX,0.010680226
MOM,0.010632963
SAR,0.010595836
DX,0.010444426
MIDPOINT,0.010370403
VAR,0.010318066
MACDFIX_hist,0.010302393
LINEARREG_INTERCEPT,0.010299809
MACD_signal,0.009890012
MACD_hist,0.009871087
TRIX,0.009853059
STDDEV,0.009831586
WCLPRICE,0.0097525045
MACD,0.009733659
HT_PHASOR_inphase,0.009641573
RSI,0.009598594
BOP,0.009583278
ROCR,0.009546374
BETA,0.009528245
STOCH_slowk,0.009474754
KAMA,0.009428969
MIDPRICE,0.009349855
TYPPRICE,0.009322482
MEDPRICE,0.009257731
HT_PHASOR_quadrature,0.009171407
APO,0.0091637485
STOCHRSI_fastk,0.009104122
ROCR100,0.009086241
LINEARREG_SLOPE,0.009059205
BB_UPPER,0.009024467
Open,0.0089925695
MACDEXT,0.008746072
AROONOSC,0.008725721
DEMA,0.008694497
ADX,0.00863491
STOCH_slowd,0.008627329
MA,0.008553702
STOCHRSI_fastd,0.008532445
AVGPRICE,0.008526466
PPO,0.008486356
HT_SINE_leadsine,0.0084562395
High,0.0084038675
MACDEXT_signal,0.008378028
HT_SINE_sine,0.008341619
BB_LOWER,0.008144695
MACDEXT_hist,0.008121133
EMA,0.008080675
ADXR,0.007944694
WMA,0.007863913
PATTERN_SUM,0.007818185
BB_MIDDLE,0.0077685416
HT_TRENDLINE,0.0077555934
CORREL,0.0075107287
HT_DCPERIOD,0.0074257185
Low,0.0072788745
HT_DCPHASE,0.0072354814
HT_TRENDMODE,0.00482192
