,importance
MACDEXT_signal,0.05836685
MACDFIX_signal,0.05711847
HT_DCPHASE,0.046398222
APO,0.03907763
DX,0.027050922
Open,0.025206525
STOCHF_fastk,0.024751144
Low,0.024355669
BOP,0.02431806
MACD_signal,0.022617226
WILLR,0.022098402
BETA,0.01997628
AROON_up,0.019622063
ULTOSC,0.01865633
MINUS_DI,0.01835602
High,0.018224848
MACD,0.016734207
AROONOSC,0.016652888
Close,0.015974771
TRIX,0.015073561
STDDEV,0.01385205
MINUS_DM,0.012791297
ATR,0.012745487
HT_DCPERIOD,0.012215001
BB_UPPER,0.011763036
MACD_hist,0.011387598
NATR,0.011040647
STOCHRSI_fastk,0.010798863
RSI,0.010594427
STOCH_slowd,0.009461472
DEMA,0.0094042495
VAR,0.009284606
MOM,0.009216801
CMO,0.009115242
MEDPRICE,0.009026798
PLUS_DM,0.008647887
CCI,0.008601996
SAREXT,0.008573406
TRANGE,0.008490757
MACDFIX,0.008344031
STOCH_slowk,0.008334918
PLUS_DI,0.0075537236
STOCHF_fastd,0.007501354
MIDPOINT,0.0074587837
T3,0.0071179154
BB_LOWER,0.0069206473
MA,0.0067656813
HT_SINE_sine,0.006755356
AVGPRICE,0.0067419205
BB_MIDDLE,0.0066242316
CORREL,0.00656903
WMA,0.0064833933
MACDEXT_hist,0.0064637973
MAVP,0.0063943695
SMA,0.0063580154
LINEARREG_SLOPE,0.0063110464
LINEARREG_INTERCEPT,0.006274846
SAR,0.0062179165
KAMA,0.0060730977
PATTERN_SUM,0.0060653416
MACDFIX_hist,0.00597902
STOCHRSI_fastd,0.005969474
LINEARREG_ANGLE,0.0059670485
LINEARREG,0.005955613
ROCR100,0.0058462135
HT_SINE_leadsine,0.0057493458
MACDEXT,0.0055950824
HT_PHASOR_inphase,0.005548018
AROON_down,0.005485745
ROC,0.0054078666
ADX,0.005293059
ROCR,0.0052575534
MIDPRICE,0.0052156406
TSF,0.005148886
EMA,0.005049539
HT_PHASOR_quadrature,0.004926649
TEMA,0.0048203403
ROCP,0.004799014
PPO,0.0047305985
TYPPRICE,0.0046582073
HT_TRENDLINE,0.0046359454
ADXR,0.004593592
TRIMA,0.004388143
HT_TRENDMODE,0.004336725
MAMA,0.0036713944
WCLPRICE,0.0
FAMA,0.0
