,importance
ULTOSC,0.060978826
AROON_up,0.037779592
AROON_down,0.030581813
STOCHF_fastk,0.02499872
WILLR,0.024471076
TRANGE,0.02234021
WCLPRICE,0.0174045
STOCHF_fastd,0.016334891
FAMA,0.014628833
EMA,0.014501335
STOCH_slowk,0.014073205
CCI,0.0138794035
ROC,0.0135106
SAR,0.0132921515
BB_MIDDLE,0.013071465
BB_LOWER,0.012993496
ROCP,0.012511628
MINUS_DI,0.01237079
TEMA,0.012264038
PLUS_DI,0.01204464
NATR,0.011838773
MAVP,0.011667585
MAMA,0.011579314
MINUS_DM,0.011353566
AROONOSC,0.011115741
Close,0.011069122
STOCHRSI_fastk,0.011058684
MACDFIX_hist,0.010756947
PLUS_DM,0.010746148
ATR,0.010656937
MACD_signal,0.010513379
MIDPRICE,0.010510429
CMO,0.010490786
MACDEXT,0.010457367
MA,0.010405355
MOM,0.010360731
LINEARREG_SLOPE,0.010272208
ADX,0.010266892
MACDFIX,0.010247788
TSF,0.010196848
SAREXT,0.010136367
T3,0.010095303
MACD,0.009854076
TRIX,0.0097603295
ADXR,0.009752129
TRIMA,0.009743159
MACDFIX_signal,0.009663915
APO,0.009600067
HT_PHASOR_inphase,0.009415887
Low,0.009395752
DEMA,0.009385463
LINEARREG_INTERCEPT,0.009225051
CORREL,0.009222902
LINEARREG_ANGLE,0.009114491
PPO,0.009056224
HT_DCPHASE,0.009046043
STDDEV,0.008988917
STOCHRSI_fastd,0.008976934
RSI,0.008902448
LINEARREG,0.008805866
Open,0.0087937685
MEDPRICE,0.008788658
MACDEXT_signal,0.008720132
HT_TRENDMODE,0.008629558
STOCH_slowd,0.008594959
MACD_hist,0.0084853
SMA,0.008427495
HT_TRENDLINE,0.008396924
HT_DCPERIOD,0.008325991
MIDPOINT,0.008298392
BB_UPPER,0.008243291
ROCR100,0.008189232
DX,0.008118739
PATTERN_SUM,0.008109137
VAR,0.0080087455
HT_SINE_leadsine,0.00787259
ROCR,0.007839927
BETA,0.0077974335
WMA,0.0077694696
HT_PHASOR_quadrature,0.007731488
BOP,0.007602198
HT_SINE_sine,0.007580774
High,0.0074852607
MACDEXT_hist,0.0074802134
KAMA,0.006973231
TYPPRICE,0.0
AVGPRICE,0.0
