Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-02,12985.0,12995.0,12928.0,12978.0,17.0,0.1574899062848272,-7.691877115974359,5.250603727181238,2.035211228373247,1.7895457458343018,-0.6800661430878803,1.297057257380522,0.1799291293448892,1.0096328795049658,-0.75316244,-0.61995834,-0.30631778,-0.30622432,-0.4234695,-1.5688119,0.4991043,-6.9702415,-6.150479,-4.555982,547.09625,-11.822059,436.0086,-22.227144,-8.145474,-19.71446,-5.233361,6.5685368,4.306268,-1.0407765,8.465184,20.586006,-6.963866,-5.9564443,-2.0897443,2.2339597,-4.5136375,-0.9288146,1.8640348,1.2763957
2015-03-03,12968.0,12995.0,12900.0,12995.0,-25.0,-0.2616555185217258,-7.549235815245561,5.64145185183616,1.852939916298995,1.9164392794761256,-0.7506903035166775,1.313396711007771,0.0902865902970087,1.0392637999390717,-2.7307293,-0.61995834,-0.43666694,-0.6081216,-0.43736574,-11.978061,-10.991207,-6.9702415,-6.150479,-4.555982,552.1342,-20.87,432.7724,-23.733055,-7.9308395,-20.63783,-5.6571054,5.832298,4.294393,-1.4652221,8.459718,20.273245,-7.1456757,-6.033167,-2.2827907,1.4408703,-4.7341003,-0.93526024,1.9433421,1.2698432
2015-03-04,12965.0,13028.0,12950.0,12970.0,45.0,0.4369201894891961,-7.480750114427242,4.713581611521716,2.439521096078279,1.4695732536346024,-0.8255287838230797,1.409123973732039,-0.0414562656872418,0.8998552705765737,-0.38903257,-0.510657,-0.14761326,-0.3981546,-0.4049072,3.8304603,9.828002,-9.060995,2.0137134,-0.7907402,539.6925,13.716373,424.13657,-16.813015,-4.123326,-18.61314,-4.716668,5.8926115,4.1670814,-0.6868153,8.454719,19.943567,-7.324827,-6.0445313,-2.4730663,3.3910618,-4.351377,-0.91667503,1.5712183,1.291157
2015-03-05,12965.0,13039.0,12900.0,13015.0,-115.0,-1.1598242859643395,-7.300820558005808,4.858648876296967,2.266197010384872,1.638495722309014,-0.9689427460776292,1.4192809392355552,0.1598735429528461,0.5289101147531392,-3.3428137,-0.42879435,-0.49712738,-1.0688305,-0.42205533,-22.540268,-18.390968,-6.29838,6.4444766,-2.023043,550.2339,12.440049,418.48093,-17.638287,-1.7175469,-18.72102,-4.8460765,5.5683775,3.9267676,-0.55712396,8.450678,19.668215,-7.505517,-6.036837,-2.6036613,2.934515,-4.266007,-0.9182202,1.5156848,1.290927
2015-03-06,12965.0,13045.0,12845.0,12900.0,130.0,1.285190692073887,-7.184031537274777,3.304031214358461,3.307177664348824,1.5732463447094265,-0.7434591549792298,0.3184648489228898,0.1374813884934045,0.8121507033487976,4.7406793,-0.60050493,-0.5482686,0.7427175,-0.44145128,38.65871,50.597008,20.395243,-2.9930265,-2.895161,404.51135,115.19047,357.47513,-6.2795634,15.690063,-16.023539,-3.7349074,5.3840737,3.8078246,0.6501995,8.447265,19.410986,-7.512311,-5.955145,-2.6996896,6.770264,-3.5396163,-0.88659924,1.2160326,1.3166741
2015-03-09,13055.0,13078.0,12850.0,13030.0,43.0,0.4169608835460269,-7.025042141932817,4.739720696474321,2.4066962884692145,1.9793862408030616,-1.359718857542816,1.1466503746605072,0.4485176654818543,1.8172815218912624,-1.0114348,-1.0398848,-0.88629097,-0.95905846,-0.46464536,-16.562403,10.752482,-28.778723,-10.129426,-7.7294703,490.09482,42.344227,391.87897,-25.724827,-0.4217101,-20.40931,-5.9953976,4.559718,3.5506923,-2.3045452,8.443458,18.962835,-7.522993,-5.9508343,-2.790949,2.4761915,-4.839223,-0.94319266,1.257614,1.279989
2015-03-10,13060.0,13205.0,12955.0,13073.0,-3.0,-0.0421031531468646,-6.592161157964944,5.088540403176366,2.371203732730938,2.0764287906265664,-1.1910370563537067,1.1364999107027742,0.0944655015913508,1.3232061873094048,-2.884649,-0.98276156,-1.2623079,-0.8130855,-0.4570478,-13.83346,-5.5691977,-31.77148,-14.945331,-7.142192,540.2265,35.46069,374.2318,-18.989746,6.474572,-21.022318,-6.0855236,3.1409395,3.3114328,-2.6023765,8.440123,18.61061,-7.5589952,-5.936049,-2.8617113,2.1266294,-4.8280554,-0.94282097,1.167977,1.282666
2015-03-11,13140.0,13208.0,13110.0,13070.0,105.0,1.035699367784272,-6.484323735860452,5.30635663438967,2.293497673879158,1.82532261657683,-1.053891700842006,1.2904112430160568,-0.5473028998420197,0.5983383818508203,-1.3536706,-0.6299866,-0.6352326,-0.18781587,-0.44584295,1.1625862,5.5461473,3.4856896,-13.155215,-5.2169228,581.86035,21.098934,366.95667,-10.657898,12.369832,-20.404568,-5.7472343,3.2430224,3.4574006,-2.0985794,8.437857,18.466665,-7.607604,-5.9350514,-2.8440015,2.1115217,-4.631187,-0.9316346,1.2864558,1.2933047
2015-03-12,13140.0,13205.0,13030.0,13175.0,-5.0,-0.0620624590900338,-6.209039426556146,5.698928603187843,2.1358372386213014,2.192246177895772,-0.974639359118847,1.0938675871376151,-0.1167884414283946,1.0272624731963778,-2.663426,-0.88334626,-1.2728813,-0.9999613,-0.45712492,-32.023308,-7.6026793,-25.655697,-14.945331,-12.802426,576.32306,25.032547,358.05023,-16.355942,10.9200115,-22.30959,-6.616962,1.7294446,3.2592034,-3.2051685,8.435754,18.037792,-7.642618,-5.933033,-2.8770106,0.4165471,-5.1801143,-0.94964546,1.2243406,1.2764679
2015-03-13,13175.0,13243.0,13120.0,13170.0,15.0,0.1375306003416581,-6.117212992321445,5.703229274470193,2.170724260896748,1.5215048153241704,-1.178645256558484,1.1860767953236406,-0.094491138300204,1.0714233664821358,-1.1802013,-0.7453503,-0.39263877,-0.5373488,-0.43990788,-8.648951,-1.5138242,-10.096522,-9.938598,-7.6083374,587.0926,27.88913,351.87457,-13.850786,15.156497,-21.05836,-6.015173,2.1132228,3.365889,-2.7725475,8.433288,17.637873,-7.664201,-5.9418755,-2.9312422,0.5482777,-4.8746142,-0.93787926,1.2467827,1.2908009
