Date,DAILY_CLOSEPRICE_CHANGE,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-02-25,6.8807373046875,0.927288,0.8566857,1.1521266,0.8934981,0.53048754,3.6161299,4.1347804,3.0692053,3.6879113,2.6369138,6.9997764,4.9165506,13.410086,46.766163,-391.3769,-2.8619826,2.1163328,4.038667,3.2880073,1.7609484,0.3670578,0.92569727,0.83616346,1.0157514,0.5804146,-0.17512733,1.6658068,0.75517744,1.8063741,1.9617819
2015-02-26,3.4833984375,0.6495937,0.58507305,0.5289087,0.50055075,0.48321322,1.3664325,1.4901909,0.77991956,0.65059316,0.98942137,12.49591,0.2373531,15.191158,52.85769,-420.62497,-2.8797133,2.1290753,4.0123525,3.3587353,1.7692161,0.054985616,0.92382646,0.82885283,1.0130367,0.58181363,-0.17509788,1.6665529,0.7759271,1.7939271,1.9761871
2015-02-27,-13.0858154296875,-0.2060774,-0.3921504,-1.050265,-0.22388107,0.27018264,-2.1713648,-0.25697547,-1.3777136,-2.0782008,-4.2629185,16.770048,-4.4624214,13.711277,55.69928,-415.28763,-2.9230464,2.1226015,4.0080037,3.4018464,1.7636697,-3.6829333,0.9202558,0.8193392,1.0070447,0.58335066,-0.1751005,1.6668416,0.7501301,1.7824701,1.9651388
2015-03-02,0.1295166015625,0.7095404,0.5809977,0.8113199,0.6164614,0.5037332,1.3664325,1.4901909,1.5062327,2.0580885,3.0401857,22.180756,2.110855,16.378263,57.591515,-343.43295,-2.8448324,2.0570064,4.1889224,3.170328,1.739986,-2.9311523,0.9157382,0.8088344,0.9985642,0.58472806,-0.17520607,1.6654564,0.68925864,1.8212997,1.9174705
2015-03-03,-6.8148193359375,-0.37098408,-0.69534117,-1.6940833,-0.83547896,0.31653136,-3.8669224,-3.9574237,-5.1041183,-3.427862,-7.4386115,9.381068,-4.632716,9.786843,42.808224,-337.80966,-2.8396697,2.0219867,4.240718,3.1060188,1.7272218,-3.275592,0.9115033,0.7957142,0.9858518,0.58594203,-0.17523968,1.665105,0.65855885,1.8316835,1.8821646
2015-03-04,-3.2391357421875,0.20172447,-0.060467657,-0.49367642,-0.13842386,0.4004783,-1.5074049,-1.1369942,-2.9614484,-2.8552823,-2.8791325,6.095337,-5.378526,12.469046,39.73617,-324.51047,-2.8236697,1.9402554,4.355279,2.939189,1.707983,-6.000595,0.90772915,0.7822434,0.9718892,0.5872009,-0.17530048,1.6632832,0.62171364,1.8441162,1.8324419
2015-03-05,-6.979736328125,-0.5454976,-0.8017315,-1.7065102,-0.8156211,0.1845431,-4.2688885,-4.102635,-5.525719,-5.920917,-7.248412,3.6554196,-7.0006227,15.1639185,41.62578,-338.63007,-2.8306346,1.884128,4.378979,2.92584,1.697336,-5.7677255,0.90345615,0.76868314,0.9578448,0.58836305,-0.17531937,1.6621536,0.5962004,1.8451412,1.8025001
2015-03-06,-11.4901123046875,-1.7425102,-1.9580401,-2.6019611,-1.5572668,-0.039294597,-8.76633,-7.5380516,-10.750642,-11.626927,-9.548248,1.7520587,-8.208424,16.27531,31.686811,-333.0675,-2.8715463,1.8047354,4.433507,2.9019504,1.6768358,-5.720872,0.8981473,0.7538879,0.94323903,0.58935755,-0.17535996,1.660537,0.53794855,1.8423339,1.7478178
2015-03-09,-12.4371337890625,-2.1932642,-2.4246852,-3.2656353,-1.8223931,-0.20527434,-10.932014,-11.248094,-12.421545,-14.312802,-14.133184,0.51202446,-7.603446,12.959141,30.239079,-318.36673,-2.9129803,1.7551244,4.4354362,2.9633498,1.6635535,-5.158446,0.89098966,0.7388554,0.92706436,0.59004647,-0.17538059,1.6590397,0.48546955,1.832123,1.7056653
2015-03-10,-13.254638671875,-0.95742446,-1.084155,-2.5094302,-1.1659344,0.09649215,-3.6785665,-2.3061526,-5.247599,-8.643999,-8.058959,1.650965,-5.808898,15.748512,28.308222,-315.0219,-2.914477,1.6763712,4.544043,2.9807267,1.6452869,-4.661855,0.8834809,0.72410005,0.9103279,0.59062237,-0.17543638,1.657765,0.40166843,1.8265002,1.6585032
2015-03-11,-13.5389404296875,-2.0807595,-2.2463999,-2.8211896,-1.7933611,-0.2233836,-7.6877947,-10.330943,-11.514047,-16.020626,-10.767259,5.001549,-1.8082668,19.155788,29.878948,-314.39142,-2.9282532,1.60612,4.6393895,3.0172226,1.6332914,-3.3369544,0.87643594,0.71249884,0.89426714,0.5909854,-0.17549056,1.655754,0.31539696,1.8157223,1.616339
2015-03-12,3.901611328125,1.2993655,1.7865458,1.8715665,1.5775332,0.65639275,5.194445,4.0665717,4.6370983,5.2549095,6.555575,8.421073,5.533038,20.806316,29.557756,-300.38644,-2.920274,1.511742,4.774043,3.0364032,1.6218106,-0.19816506,0.8697208,0.7022581,0.8788974,0.5912665,-0.17558044,1.651096,0.17913336,1.8073051,1.5626577
2015-03-13,-5.830322265625,-0.4022377,-0.7188737,-0.7907844,-0.4032303,0.23945759,-2.2709947,-2.0899825,-3.371643,-2.8558502,-3.887456,11.450494,8.360479,3.1620457,50.530598,-356.4791,-2.8352668,1.6680024,4.904424,2.959352,1.6484106,2.3976781,0.86410385,0.6946144,0.8681799,0.5910676,-0.17562294,1.6566198,0.17491049,1.8253586,1.652004
2015-03-16,-4.1400146484375,0.043007765,-0.31035912,-0.5982128,-0.26781082,0.32033885,-1.4439687,-2.0899825,-2.465078,-2.3841302,-2.684104,11.480809,8.55006,3.839203,58.143044,-380.81555,-2.826429,1.6471198,4.9484105,2.9340057,1.6423497,2.4118342,0.85901713,0.68737715,0.85845697,0.5906732,-0.17564696,1.6578571,0.15095583,1.8270783,1.6378686
2015-03-17,9.004638671875,1.2536689,1.6059859,1.426451,1.4607422,0.63716435,5.378795,6.711163,4.2179036,4.805045,3.810258,11.975802,8.681985,5.466219,64.6938,-394.16452,-2.8241472,1.606713,5.0070953,2.9372797,1.6362828,2.6943498,0.85514814,0.6820315,0.8503343,0.5901489,-0.17569005,1.6561037,0.09429116,1.8260108,1.613593
2015-03-18,-1.4490966796875,0.6000881,0.49111563,0.6356337,0.4899224,0.48164985,0.44400677,1.4901909,1.0653938,-1.2451522,1.7297595,13.576517,6.44452,8.040284,73.98413,-436.5909,-2.8348248,1.609354,4.9498863,2.9314783,1.633222,1.716695,0.85381174,0.6780744,0.8447798,0.5896169,-0.17565727,1.6562904,0.13475892,1.8268614,1.6080408
2015-03-19,10.2982177734375,0.8310394,0.7621924,1.2091073,0.9499069,0.52892417,2.6937063,4.1347804,3.2054548,1.7921649,3.634347,14.722684,5.2358217,9.686229,77.23593,-453.79044,-2.8604465,1.4956223,4.906486,2.9655752,1.6203752,0.33079425,0.85393095,0.6755294,0.8416395,0.5890884,-0.17564976,1.6526265,0.1231095,1.8201482,1.5587027
2015-03-20,1.397216796875,0.8095958,0.7836393,1.2268113,0.8228744,0.52068084,2.6937063,4.1347804,2.2945707,1.6029524,2.9162874,15.201611,1.5674645,11.33674,80.344185,-491.1776,-2.9157555,1.4830562,4.764571,3.0404136,1.6105722,-0.47642022,0.85477036,0.6747219,0.84085727,0.58830214,-0.17557657,1.6518397,0.18887374,1.8095717,1.5560161
2015-03-23,18.8111572265625,1.9743339,1.8301951,3.7747326,1.817187,0.738746,7.811814,5.6266956,7.189284,6.55859,14.406562,12.342123,2.1042898,16.995098,92.60127,-526.8978,-2.9519572,1.5188935,4.644491,3.0931985,1.620996,0.15988591,0.85688466,0.675314,0.84244096,0.5871782,-0.17551553,1.6524138,0.24888225,1.7993658,1.5760752
