Ticker_Symbol,Model_1,Model_2,Model_3,Model_1_Sign_Accuracy,Model_2_Sign_Accuracy,Model_3_Sign_Accuracy,Ensemble_Sign_Accuracy
AUDSGD=X,GBT_5_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,87.77064956,83.36006415,78.86928629,84.24218123496391
AUDUSD=X,GBT_1_Sign_Accuracy,GBT_3_Sign_Accuracy,RF_4_Sign_Accuracy,83.19935691,82.39549839,80.10450161,83.64147909967846
BDT=X,GBT_2_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,69.30494174,68.17999196,64.80514263,68.01928485335476
CAD=X,GBT_3_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_2_Sign_Accuracy,83.11948677,77.26543705,75.94226143,78.94947874899759
CHF=X,GBT_3_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,83.75552875,82.42862887,79.25211098,82.951347004423
CNY=X,GBT_4_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,78.36751106,75.27141134,72.93928428,76.75914756735021
CNYJPY=X,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,75.37969624,74.58033573,73.9008793,75.33972821742606
CNYUSD=X,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_1_Sign_Accuracy,75.62248996,71.92771084,71.80722892,73.4136546184739
Cocoa,GBT_1_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,84.39597315,76.17449664,73.71364653,80.8165548098434
Coffee,GBT_4_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,78.69955157,76.79372197,73.15022422,78.02690582959642
Corn,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,79.3686584,75.93010147,71.75873732,78.41037204058624
Cotton,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_3_Sign_Accuracy,79.78663672,72.59966311,68.55699045,76.24929814710836
EGP=X,GBT_4_Sign_Accuracy,GRNN_1_Sign_Accuracy,GBT_2_Sign_Accuracy,58.95791583,57.0741483,53.90781563,57.635270541082164
EUR=X,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,80.14469453,80.10450161,77.29099678,80.58681672025723
EURCHF=X,GBT_4_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_1_Sign_Accuracy,84.52285485,80.8340016,77.78668805,81.8364073777065
EURGBP=X,GBT_5_Sign_Accuracy,RF_4_Sign_Accuracy,RF_3_Sign_Accuracy,81.247501,76.8892443,76.40943623,78.08876449420232
EURHUF=X,GBT_3_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_1_Sign_Accuracy,87.78534241,79.25510613,78.13376051,82.61914297156588
EURJPY=X,GBT_4_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_1_Sign_Accuracy,87.80096308,84.30979133,79.85553772,85.59390048154093
EURMMK=X,GBT_5_Sign_Accuracy,RF_3_Sign_Accuracy,GBT_4_Sign_Accuracy,78.25040128,78.04975923,76.28410915,78.1701444622793
EURSEK=X,GBT_3_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,79.16,76.52,76.48,78.32000000000001
EURSGD=X,RF_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,78.82683809,76.49658497,76.0948172,77.46082764162314
GBPJPY=X,GBT_4_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,74.9498998,73.14629259,73.06613226,74.2685370741483
